total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
2185,1994.33,14.1212,0.32035,1366.9,13.1529
2186,1995.3,14.123,0.309996,1367.87,12.7544
2187,1996.26,14.1262,0.301053,1368.79,12.4096
2188,1997.2,14.1306,0.293382,1369.66,12.1138
2189,1998.13,14.136,0.28688,1370.49,11.8634
2190,1999.04,14.1422,0.28147,1371.28,11.6559
2191,1999.95,14.1491,0.27709,1372.04,11.4889
2192,2000.85,14.1565,0.27369,1372.78,11.3607
2193,2001.75,14.1643,0.271227,1373.51,11.2698
2194,2002.64,14.1723,0.269669,1374.22,11.2153
2195,2003.53,14.1804,0.268992,1374.93,11.1964
2196,2004.42,14.1886,0.269183,1375.63,11.2132
2197,2005.31,14.1967,0.270244,1376.34,11.2661
2198,2006.2,14.2046,0.272189,1377.05,11.3562
2199,2007.1,14.2123,0.27505,1377.78,11.4853
2200,2008,14.2195,0.278871,1378.52,11.6559
2201,2008.91,14.2262,0.28425,1379.36,11.8964
2202,2009.83,14.2321,0.290965,1380.24,12.1956
2203,2010.77,14.2369,0.299117,1381.17,12.558
2204,2011.72,14.2403,0.308797,1382.15,12.9878
2205,2012.7,14.2421,0.320072,1383.2,13.4876
2206,2013.7,14.2419,0.332959,1384.33,14.0578
2207,2014.73,14.2395,0.347402,1385.55,14.6955
2208,2015.8,14.2344,0.363247,1386.89,15.3934
2209,2016.91,14.2263,0.380216,1388.35,16.1386
2210,2018.06,14.2149,0.397894,1389.95,16.9126
2211,2019.26,14.2,0.415719,1391.7,17.6904
2212,2020.51,14.1814,0.432997,1393.6,18.4415
2213,2021.81,14.1593,0.448925,1395.65,19.1312
2214,2023.16,14.1339,0.462651,1397.84,19.7226
2215,2024.54,14.1057,0.473343,1400.14,20.1801
2216,2025.95,14.0754,0.480272,1402.52,20.4729
2217,2027.37,14.044,0.482897,1404.95,20.5784
2218,2028.8,14.0125,0.480932,1407.37,20.4851
2219,2030.21,13.982,0.474378,1409.74,20.1938
2220,2031.59,13.9535,0.463515,1412.02,19.7177
2221,2032.94,13.9279,0.448864,1414.16,19.0796
2222,2034.24,13.9059,0.431116,1416.16,18.3099
2223,2035.48,13.8877,0.411048,1417.97,17.4423
2224,2036.67,13.8738,0.389448,1419.61,16.5108
2225,2037.8,13.8639,0.367056,1421.07,15.5474
2226,2038.88,13.858,0.344519,1422.35,14.5795
2227,2039.91,13.8558,0.322368,1423.48,13.6298
2228,2040.9,13.857,0.301016,1424.46,12.7159
2229,2041.84,13.8611,0.280765,1425.31,11.8502
2230,2042.75,13.8679,0.261816,1426.04,11.0412
2231,2043.63,13.877,0.244287,1426.68,10.2937
2232,2044.48,13.8879,0.228231,1427.24,9.60964
2233,2045.31,13.9006,0.213651,1427.72,8.98883
2234,2046.12,13.9146,0.20051,1428.14,8.42957
2235,2046.91,13.9298,0.188748,1428.52,7.92903
2236,2047.69,13.946,0.178284,1428.85,7.48365
2237,2048.46,13.963,0.169029,1429.14,7.08944
2238,2049.22,13.9807,0.160886,1429.41,6.74219
2239,2049.98,13.999,0.153758,1429.65,6.43768
2240,2050.72,14.0177,0.147549,1429.87,6.17172
2241,2051.45,14.0383,0.141649,1430.09,5.91892
2242,2052.16,14.0594,0.136633,1430.29,5.70295
