total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
414,413.741,0.0192096,9.35235e-08,0.321562,0.555031
415,414.741,0.0192083,9.35345e-08,0.321562,0.555031
416,415.741,0.0192069,6.35598e-08,0.32156,0.555031
417,416.741,0.0192056,6.39789e-08,0.32156,0.555031
418,417.741,0.0192043,9.21171e-08,0.321562,0.555031
419,418.741,0.019203,9.35232e-08,0.321562,0.555031
420,419.741,0.0192016,5.4148e-08,0.32156,0.55503
421,420.741,0.0192003,6.3978e-08,0.32156,0.555031
422,421.741,0.019199,6.39768e-08,0.32156,0.555031
423,422.741,0.0191977,9.21159e-08,0.321562,0.555031
424,423.741,0.0191964,9.35356e-08,0.321562,0.555031
425,424.741,0.019195,5.4149e-08,0.32156,0.55503
426,425.741,0.0191937,6.35615e-08,0.32156,0.555031
427,426.741,0.0191924,6.39772e-08,0.32156,0.555031
428,427.741,0.0191911,9.2118e-08,0.321562,0.555031
429,428.741,0.0191898,9.35238e-08,0.321562,0.555031
430,429.741,0.0191884,5.415e-08,0.32156,0.55503
431,430.741,0.0191871,5.41475e-08,0.32156,0.55503
432,431.741,0.0191858,6.39768e-08,0.32156,0.555031
433,432.741,0.0191845,6.39776e-08,0.32156,0.555031
434,433.741,0.0191832,9.21162e-08,0.321562,0.555031
435,434.741,0.0191819,9.35238e-08,0.321562,0.555031
436,435.741,0.0191806,9.35333e-08,0.321562,0.555031
437,436.741,0.0191792,5.41485e-08,0.32156,0.55503
438,437.741,0.0191779,6.35598e-08,0.32156,0.555031
439,438.741,0.0191766,6.39768e-08,0.32156,0.555031
440,439.741,0.0191753,6.39793e-08,0.32156,0.555031
441,440.741,0.019174,9.21171e-08,0.321562,0.555031
442,441.741,0.0191726,9.35235e-08,0.321562,0.555031
443,442.741,0.0191713,5.41495e-08,0.32156,0.55503
444,443.741,0.01917,5.41495e-08,0.32156,0.55503
445,444.741,0.0191687,6.35576e-08,0.32156,0.555031
446,445.741,0.0191674,6.39797e-08,0.32156,0.555031
447,446.741,0.0191661,6.39763e-08,0.32156,0.555031
448,447.741,0.0191647,9.21162e-08,0.321562,0.555031
449,448.741,0.0191634,9.21165e-08,0.321562,0.555031
450,449.741,0.0191621,9.35229e-08,0.321562,0.555031
451,450.741,0.0191608,9.35371e-08,0.321562,0.555031
452,451.741,0.0191595,9.35353e-08,0.321562,0.555031
453,452.741,0.0191581,5.41495e-08,0.32156,0.55503
454,453.741,0.0191568,6.35581e-08,0.32156,0.555031
455,454.741,0.0191555,6.35598e-08,0.32156,0.555031
456,455.741,0.0191542,6.35619e-08,0.32156,0.555031
457,456.741,0.0191529,6.39793e-08,0.32156,0.555031
